trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
135,False,"{'a': 0.4, 'e': 0.7132505060100663}",30,0,-22.50934858760718,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
136,False,"{'a': 0.4, 'e': 0.7114673797450413}",25,0,-107.14280556730338,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
137,False,"{'a': 0.4, 'e': 0.7096887112956787}",20,0,-31.342521052488234,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
138,False,"{'a': 0.4, 'e': 0.7079144895174395}",25,0,-69.36631124872649,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
139,False,"{'a': 0.4, 'e': 0.706144703293646}",20,0,-90.15137250611883,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
140,False,"{'a': 0.4, 'e': 0.7043793415354118}",25,0,-147.99791373595258,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
141,False,"{'a': 0.4, 'e': 0.7026183931815734}",20,0,-105.79672098648267,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
142,False,"{'a': 0.4, 'e': 0.7008618471986194}",30,0,-157.30800690648783,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
143,False,"{'a': 0.4, 'e': 0.6991096925806229}",25,8,-44.351976835548825,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 1}",1
144,False,"{'a': 0.4, 'e': 0.6973619183491715}",30,0,-179.7236867847591,"{0: 20, 1: 0, 2: 5, 3: 2, 4: 3}",0
145,False,"{'a': 0.4, 'e': 0.6956185135532985}",25,0,-2.0635469453191564,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
146,False,"{'a': 0.4, 'e': 0.6938794672694153}",25,0,-142.97566327303764,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
147,False,"{'a': 0.4, 'e': 0.6921447686012419}",20,0,-8.475219322165982,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
148,False,"{'a': 0.4, 'e': 0.6904144066797387}",30,0,-13.833593058761378,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
149,False,"{'a': 0.4, 'e': 0.6886883706630395}",20,5,-11.543318324528506,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
150,False,"{'a': 0.4, 'e': 0.6869666497363819}",30,6,-39.500015822727065,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 0}",1
